"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Austria","Geothermal",0.0000,0.0000,2.0000,2.0000,2.0000,0.9150,0.9150,0.9150,0.9150,0.9150,0.9150,0.9150,0.9150,0.9150,0.9150,0.9150,0.9240,0.9150,0.9150,0.9150,0.9150,0.9150
"Belarus","Total renewable energy",10.4440,11.0280,12.3430,12.3430,12.5930,12.9030,16.4530,20.1530,28.7890,29.2290,29.7490,35.1290,55.4040,74.3040,81.0040,96.7040,222.1640,300.0640,389.7640,414.6640,490.5000,488.1000
"Belarus","Hydropower",10.1940,10.4280,11.2430,11.2430,11.4930,11.8030,11.8530,12.3530,12.8890,13.3290,13.8490,14.3290,31.6040,32.1040,32.8040,33.5040,73.5640,95.3640,95.3640,95.3640,96.0000,96.0000
"Belarus","Renewable hydropower",10.1940,10.4280,11.2430,11.2430,11.4930,11.8030,11.8530,12.3530,12.8890,13.3290,13.8490,14.3290,31.6040,32.1040,32.8040,33.5040,73.5640,95.3640,95.3640,95.3640,96.0000,96.0000
"Belarus","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Wind",0.2500,0.6000,1.1000,1.1000,1.1000,1.1000,1.1000,1.9000,1.9000,1.9000,1.9000,2.0000,5.0000,7.0000,9.0000,22.0000,62.0000,84.0000,92.0000,112.0000,112.0000,111.7000
"Belarus","Onshore wind energy",0.2500,0.6000,1.1000,1.1000,1.1000,1.1000,1.1000,1.9000,1.9000,1.9000,1.9000,2.0000,5.0000,7.0000,9.0000,22.0000,62.0000,84.0000,92.0000,112.0000,112.0000,111.7000
"Belarus","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Solar",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,6.0000,47.0000,80.0000,154.0000,154.0000,160.0000,160.0000
"Belarus","Solar photovoltaic",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,6.0000,47.0000,80.0000,154.0000,154.0000,160.0000,160.0000
"Belarus","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Bioenergy",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,5.9000,14.0000,14.0000,14.0000,18.8000,18.8000,35.2000,35.2000,35.2000,39.6000,40.7000,48.4000,53.3000,122.5000,120.4000
"Belarus","Solid biofuels",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,5.9000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,15.5000,15.5000,85.5000,83.1000
"Belarus","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Other solid biofuels",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,5.9000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,12.8000,15.5000,15.5000,85.5000,83.1000
"Belarus","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belarus","Biogas",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2000,1.2000,1.2000,6.0000,6.0000,22.4000,22.4000,22.4000,26.8000,27.9000,32.9000,37.8000,37.0000,37.3000
"Belarus","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belgium","Total renewable energy",232.5000,277.5000,300.0000,407.5000,458.0000,788.5000,879.0000,988.5000,1192.5000,2011.0000,3052.1000,4197.6000,5122.1000,5765.1000,5993.2500,6362.8000,6731.2500,7427.5000,8262.6000,9510.5500,11283.2500,12241.9900
"Belgium","Hydropower",1413.0000,1421.0000,1421.0000,1420.0000,1425.0000,1412.0000,1414.0000,1417.0000,1418.0000,1417.0000,1425.0000,1426.0000,1427.0000,1429.0000,1431.0000,1422.0000,1419.1000,1417.1000,1417.8000,1414.1000,1415.8000,1416.8000
"Belgium","Renewable hydropower",103.0000,111.0000,111.0000,110.0000,115.0000,105.0000,107.0000,110.0000,111.0000,110.0000,118.0000,119.0000,120.0000,119.0000,121.0000,112.0000,109.1000,107.1000,107.8000,104.1000,105.8000,106.8000
"Belgium","Pumped storage",1310.0000,1310.0000,1310.0000,1310.0000,1310.0000,1307.0000,1307.0000,1307.0000,1307.0000,1307.0000,1307.0000,1307.0000,1307.0000,1310.0000,1310.0000,1310.0000,1310.0000,1310.0000,1310.0000,1310.0000,1310.0000,1310.0000
"Belgium","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belgium","Wind",14.0000,26.0000,31.0000,67.0000,96.0000,167.0000,212.0000,276.0000,324.0000,608.0000,912.0000,1069.0000,1370.0000,1780.0000,1944.0000,2176.0000,2370.0000,2787.5000,3267.9000,3863.4000,4680.9000,4779.6400
