"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Botswana","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.45,5.97,5.92,5.98
"Botswana","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.45,5.97,5.92,5.98
"Botswana","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Total renewable energy",99.07,54.58,64.56,96.99,103.26,102.37,82.57,114.02,139.63,137.20,123.34,91.35,106.05,115.79,101.92,106.76,155.99,158.08,190.54,209.16,214.55
"Burkina Faso","Hydropower",98.27,53.78,63.76,95.89,101.46,100.47,80.67,111.42,135.93,132.30,117.54,81.95,96.65,105.54,90.47,93.46,139.49,127.93,91.45,105.32,112.39
"Burkina Faso","Renewable hydropower",98.27,53.78,63.76,95.89,101.46,100.47,80.67,111.42,135.93,132.30,117.54,81.95,96.65,105.54,90.47,93.46,139.49,127.93,91.45,105.32,112.39
"Burkina Faso","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Solar",0.80,0.80,0.80,1.10,1.80,1.90,1.90,2.60,3.70,4.90,5.80,9.40,9.40,10.20,11.30,13.00,16.20,28.85,97.79,102.54,100.85
"Burkina Faso","Solar photovoltaic",0.80,0.80,0.80,1.10,1.80,1.90,1.90,2.60,3.70,4.90,5.80,9.40,9.40,10.20,11.30,13.00,16.20,28.85,97.79,102.54,100.85
"Burkina Faso","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Bioenergy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.30,1.30,1.30,1.30,1.30
"Burkina Faso","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso","Liquid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.30,0.30,0.30,0.30,0.30
"Burkina Faso","Biogas",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00
"Burkina Faso","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Total renewable energy",102.74,116.60,128.70,104.16,94.60,102.46,158.51,203.52,218.33,206.99,234.57,247.05,259.22,259.95,250.84,246.75,284.95,273.22,253.93,253.69,285.06
"Burundi","Hydropower",98.71,112.34,124.36,100.04,90.39,98.01,154.21,197.51,212.86,200.42,228.96,240.09,251.04,249.04,240.67,236.13,271.95,258.71,240.34,240.34,271.58
"Burundi","Renewable hydropower",98.71,112.34,124.36,100.04,90.39,98.01,154.21,197.51,212.86,200.42,228.96,240.09,251.04,249.04,240.67,236.13,271.95,258.71,240.34,240.34,271.58
"Burundi","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Solar",0.00,0.00,0.00,0.00,0.00,0.16,0.31,0.47,0.62,0.62,0.93,1.24,2.49,4.04,4.35,4.82,6.37,7.93,7.93,7.93,7.93
"Burundi","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.16,0.31,0.47,0.62,0.62,0.93,1.24,2.49,4.04,4.35,4.82,6.37,7.93,7.93,7.93,7.93
"Burundi","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Bioenergy",4.03,4.25,4.33,4.12,4.21,4.30,3.99,5.55,4.85,5.94,4.68,5.72,5.69,6.87,5.82,5.80,6.63,6.59,5.67,5.43,5.55
"Burundi","Solid biofuels",4.03,4.25,4.33,4.12,4.21,4.30,3.99,5.55,4.85,5.94,4.68,5.72,5.69,6.87,5.82,5.80,6.63,6.59,5.67,5.43,5.55
"Burundi","Bagasse",4.03,4.25,4.33,4.12,4.21,4.30,3.99,5.55,4.85,5.94,4.68,5.72,5.69,6.87,5.82,5.80,6.63,6.59,5.67,5.43,5.55
"Burundi","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burundi","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Total renewable energy",4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,4.10,24.56,70.49,83.26,89.21,85.02,82.57,74.93,89.35,82.78,70.52
"Cabo Verde","Hydropower",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Renewable hydropower",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Wind",4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,1.99,15.61,63.03,76.01,82.56,78.81,76.93,68.32,80.23,73.80,63.93
"Cabo Verde","Onshore wind energy",4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,1.99,15.61,63.03,76.01,82.56,78.81,76.93,68.32,80.23,73.80,63.93
"Cabo Verde","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,8.96,7.46,7.25,6.65,6.21,5.64,6.61,9.12,8.99,6.59
"Cabo Verde","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,8.96,7.46,7.25,6.65,6.21,5.64,6.61,9.12,8.99,6.59
"Cabo Verde","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cabo Verde","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
